cluster_id,gold,tissue_name,stage_hpf,kind,scored,agrees,agrees_overlay,confidence,confidence_score,margin,ood,abstain_reason,n_resolved,n_markers,vocab_hit_rate,depth,zfa_id,bucket,panel_bucket,convergent_genes,attractor_groundings,thin_overcall,support_fraction,n_candidates
osteoblast,Bone,osteoblast,72.0,rollup,1,,,low,0.5469,0.0191,in_set,,24,25,0.2,1,,mesoderm,mesoderm,,,,,3
pancreas,Pancreas,pancreas,72.0,abstain,1,,,,,0.0306,in_set,weak_signal,23,25,0.04,0,,mixed/unresolved,,,,,,1
pectoral_fin_bud_osteoblast,Fin,pectoral fin bud (osteoblast+),24.0,abstain,1,,,,,0.0295,in_set,weak_signal,24,25,0.04,0,,mixed/unresolved,,,,,,1
periderm,Epidermis,periderm,48.0,named,1,1,1,medium,0.7632,0.2186,in_set,,23,25,0.12,6,ZFA:0000105,epidermis,epidermis,abca12;capn9;cast;cav1;cyt1;evpla;evplb;hsd17b12a;krt4;krt5;pleca;ppl,epidermis,0,0.6,1
periocular_mesenchyme,Head Mesoderm,periocular mesenchyme,48.0,abstain,1,,,,,0.0279,structural,weak_signal,24,25,0.04,0,,mixed/unresolved,,,,,,1
pharyngeal_arch_contains_muscle_early_cartilage,Pharyngeal Arch,"pharyngeal arch (contains muscle, early cartilage)",72.0,abstain,1,,,,,0.0,in_set,weak_signal,22,25,0.12,0,,mixed/unresolved,,,,,,4
pharyngeal_arch_early,Pharyngeal Arch,pharyngeal arch (early),48.0,abstain,1,,,,,0.0595,structural,weak_signal,23,25,0.04,0,,mixed/unresolved,,,,,,1
pharyngeal_arch_nc_derived,Pharyngeal Arch,pharyngeal arch (NC-derived),24.0,abstain,1,,,,,0.0101,in_set,weak_signal,23,25,0.08,0,,mixed/unresolved,,,,,,2
pharynx,Pharynx,pharynx,24.0,abstain,1,,,,,0.033,in_set,weak_signal,23,25,0.04,0,,mixed/unresolved,,,,,,1
posterior_lateral_line_primordium,Lateral Line,posterior lateral line primordium,24.0,abstain,1,,,,,0.0369,in_set,weak_signal,23,25,0.12,0,,mixed/unresolved,,,,,,3
posterior_spinal_cord_progenitors,Central Nervous System,posterior spinal cord progenitors,36.0,named,1,1,1,low,0.1702,0.0287,in_set,,24,25,0.04,8,ZFA:0000101,diencephalon,neural,adgrv1;aopep;cntfr;col18a1a;dacha;foxj1a;lrp2a;ntn1a;pacrg;pcdh19;prickle2b;rfx4,neural,0,0.571,1
primordial_germ_cell,Germ Line,primordial germ cell,24.0,named,1,1,1,low,0.5465,0.0688,in_set,,25,25,0.16,5,ZFA:0009288,primordial germ cell,germline,ca15b;ddx4;dnd1;nanos3;tdrd7a,,0,0.333,3
pronephric_duct,Kidney,pronephric duct,36.0,abstain,1,,,,,0.0,no_signal,no_panel,24,25,0.0,0,,mixed/unresolved,,,,,,0
pronephric_podocyte,Kidney,pronephric podocyte,48.0,named,1,1,1,low,0.5205,0.0915,in_set,,23,25,0.08,6,ZFA:0000151,pronephros,pronephros,bcam;cdon;dachc;iqgap2;kirrel1b;lama5;lmx1bb;magi2a;nphs1;podxl;wt1a,,0,0.647,1
pronephros_distal_tubule,Kidney,pronephros distal tubule,36.0,abstain,1,,,,,0.0792,in_set,weak_signal,21,25,0.04,0,,mixed/unresolved,,,,,,1
pronephros_proximal_tubule,Kidney,pronephros proximal tubule,36.0,abstain,1,,,,,0.0478,in_set,weak_signal,22,25,0.04,0,,mixed/unresolved,,,,,,1
red_blood_cell,Blood,red blood cell,24.0,named,1,1,1,high,0.8123,0.222,in_set,,22,25,0.12,3,ZFA:0000033,intermediate cell mass of mesoderm,blood_erythroid,adrb3a;alas2;blf;cahz;drll.1;drll.2;hbae3;hbae5;hbbe3;mllt3;slc4a1a;spns2;sptb;zfpm1,,0,0.824,1
retinal_neuron,Eye,retinal neuron,48.0,named,1,0,0,low,0.5273,0.0899,in_set,,25,25,0.08,8,ZFA:0000079,telencephalon,neural,aplp1;cadm3;celf5a;ebf3a;elavl3;kcnma1a;nova2;npas3;nrxn2a;pbx3b;pcdh17;rbfox1;thsd7aa;unc5a,neural,0,0.609,1
retinal_pigmented_epithelium_early,Eye,retinal pigmented epithelium (early),48.0,abstain,1,,,,,0.1019,in_set,weak_signal,24,25,0.12,0,,mixed/unresolved,,,,,,1
retinal_pigmented_epithelium_late,Retina,retinal pigmented epithelium (late),72.0,named,1,1,1,low,0.3669,0.036,in_set,,24,25,0.08,15,ZFA:0000144,retinal pigmented epithelium,eye,col18a1a;lrp2a;pmela;pmelb;rpe65a;slc24a4a;stra6;trpm1a;tyrp1b,neural,0,0.562,2
roof_plate_flexural_subcommissural_organ,Central Nervous System,"roof plate, flexural + subcommissural organ",48.0,abstain,1,,,,,0.0,no_signal,no_panel,23,25,0.0,0,,mixed/unresolved,,,,,,0
satellite_cells,Cranial Muscle (Late),satellite cells,24.0,abstain,1,,,,,0.0488,doublet,mixed,24,25,0.24,0,,mixed/unresolved,,,,,,4
slow_committed_myocyte,Cranial Muscle (Late),slow-committed myocyte,18.0,rollup,1,,,medium,0.6205,0.082,in_set,,24,25,0.12,1,,mesoderm,mesoderm,,,,,2
support_cells_otic_vesicle,Ear,support cells/otic vesicle,48.0,named,1,1,1,low,0.4309,0.0236,in_set,,24,25,0.16,2,ZFA:0000051,otic vesicle,otic,col11a1a;col2a1a;dacha;eya1;lmx1bb;lrp2a;matn4;ncam1b;ntm;otomp;pcdh19;prom1a;slc4a4b;stm,,0,1.0,5
swim_bladder_primordium,Swim Bladder,swim bladder primordium,72.0,abstain,1,,,,,0.0,no_signal,no_panel,23,25,0.0,0,,mixed/unresolved,,,,,,0
thyroid_follicle_cell,Endocrine,thyroid follicle cell,36.0,abstain,1,,,,,0.0562,in_set,weak_signal,23,25,0.04,0,,mixed/unresolved,,,,,,1
unknown_dcn_col6,Cranial Muscle (Late),"unknown (dcn+, col6+)",48.0,named,1,0,0,medium,0.7093,0.2147,in_set,,25,25,0.12,2,ZFA:0000393,mesenchyme,mesenchyme,col12a1a;col2a1b;col5a2a;col6a4a;dcn;hhip;loxl3b;nfatc1,mesenchyme,0,0.381,1
unknown_k_channel_ciliated,Central Nervous System,"unknown (K+ channel, ciliated)",72.0,abstain,1,,,,,0.0,no_signal,no_panel,23,25,0.0,0,,mixed/unresolved,,,,,,0
vascular_smooth_muscle,Pharyngeal Arch,vascular smooth muscle,72.0,abstain,1,,,,,0.0261,structural,weak_signal,24,25,0.08,0,,mixed/unresolved,,,,,,2
xanthophore,Epidermis,xanthophore,48.0,named,1,1,1,low,0.4589,0.0504,in_set,,22,25,0.12,6,ZFA:0009198,xanthophore,pigment,aox5;bscl2l;csf1ra;gch2;igsf11;pax7b;slc2a11b;slc2a15a,epidermis,0,0.421,2
