cluster_id,gold,tissue_name,stage_hpf,kind,scored,agrees,agrees_overlay,confidence,confidence_score,margin,ood,abstain_reason,n_resolved,n_markers,vocab_hit_rate,depth,zfa_id,bucket,panel_bucket,convergent_genes,attractor_groundings,thin_overcall,support_fraction,n_candidates
endo.12,endo,endoderm,108.0,abstain,1,,,,,0.041,in_set,weak_signal,25,25,0.04,0,,mixed/unresolved,,,,,,1
endo.13,endo,endoderm,108.0,named,1,1,1,low,0.34,0.0366,in_set,,25,25,0.12,7,ZFA:0001338,intestine,intestine,aldh9a1a.1;aldob;anxa2b;cldn15la;gapdh;gnpda1;gsta.1;gstp1.2;gstr;mgst3a;pklr;s100a10a;serpinb1;serpinb1l3;vil1,,0,0.625,2
endo.14,endo,endoderm,100.0,named,1,1,1,low,0.3716,0.0301,in_set,,23,25,0.08,7,ZFA:0001338,intestine,intestine,cldn15la;fosab;jun;pklr;rack1;tm4sf4;ucp2;vil1,,0,0.4,1
endo.15,endo,endoderm,84.0,named,1,1,1,low,0.3428,0.037,in_set,,23,25,0.12,7,ZFA:0001338,intestine,intestine,agr2;anxa2b;cldn15la;pdia3;serpinb1;serpinb1l3;tm4sf4;ucp2;vil1,,0,0.429,2
endo.16,endo,endoderm,120.0,named,1,1,1,low,0.3481,0.0103,in_set,,23,25,0.12,7,ZFA:0001338,intestine,intestine,anpepb.1;ca2;cfd;cldn15la;gstp1.2;pklr;serpinb1l3;tm4sf4;vil1,,0,0.5,3
endo.17,endo,endoderm,104.0,named,1,1,1,low,0.3461,0.0026,in_set,,23,25,0.12,7,ZFA:0001338,intestine,intestine,cldn15la;cldn3c;fosab;jun;tm4sf4;vil1,,0,0.286,2
endo.18,endo,endoderm,112.0,abstain,1,,,,,0.0,no_signal,no_panel,23,25,0.0,0,,mixed/unresolved,,,,,,0
endo.19,endo,endoderm,84.0,named,1,1,1,low,0.3415,0.0,in_set,,23,25,0.12,7,ZFA:0001338,intestine,intestine,arxa;cldn15la;cldn3c;elovl1b;fosab;jun;mgst3a;pklr;st3gal7;tm4sf4;vil1,,0,0.478,3
endo.2,endo,endoderm,120.0,named,1,1,1,medium,0.6152,0.1247,in_set,,25,25,0.16,5,ZFA:0000123,liver,liver,ahcy;aldob;ambp;apoa1b;apoa2;apoa4b.1;apoc1;apom;bhmt;ces2a;f2;fgg;gapdh;gc;gpx4a;grhprb;kng1;rbp4;scp2a;serpina1;serpina1l;suclg1;tfa,,0,0.92,1
endo.20,endo,endoderm,48.0,abstain,1,,,,,0.0,in_set,weak_signal,24,25,0.04,0,,mixed/unresolved,,,,,,2
