zfa_id,name,tier,tier_prefloor,usefulness_score,cell_slim,has_cl,cell_identity,ic,credited_genes,direct_genes,n_children,n_is_a_parents,n_part_of_parents,is_leaf,obsolete,in_stoplist,admin_container,structural_container,pure_grouper,curated,on_discernible_step,flags
ZFA:0009136,motile cell,T1,T1,5.0,1,1,1,6.0674,216,1,4,1,0,0,0,0,0,0,0,0,1,
ZFA:0009141,macrophage,T1,T1,5.0,1,1,1,7.6725,71,63,2,2,1,0,0,0,0,0,0,0,1,
ZFA:0009147,glial cell (sensu Vertebrata),T1,T1,5.0,1,1,1,7.5555,77,11,5,1,0,0,0,0,0,0,0,0,1,
ZFA:0009150,Rohon-Beard neuron,T1,T1,5.0,1,1,1,6.9894,114,114,0,1,0,1,0,0,0,0,0,0,1,
ZFA:0009154,eye photoreceptor cell,T1,T1,5.0,1,1,1,7.1358,103,31,2,1,2,0,0,0,0,0,0,0,1,
ZFA:0009159,mucus secreting cell,T1,T1,5.0,1,1,1,7.3465,89,85,1,1,2,0,0,0,0,0,0,0,1,
ZFA:0009165,neural crest cell,T1,T1,5.0,1,0,1,6.8223,128,92,3,1,1,0,0,0,0,0,0,1,1,
ZFA:0009168,neuroblast (sensu Vertebrata),T1,T1,5.0,1,1,1,7.9894,57,22,1,1,0,0,0,0,0,0,0,0,1,
ZFA:0009191,CNS interneuron,T1,T1,5.0,1,1,1,7.0021,113,4,7,2,0,0,0,0,0,0,0,0,1,
ZFA:0009242,primary neuron,T1,T1,5.0,1,1,1,6.7137,138,87,3,1,1,0,0,0,0,0,0,0,1,
ZFA:0009244,primary motor neuron,T1,T1,5.0,1,1,1,8.1218,52,42,4,2,0,0,0,0,0,0,0,0,1,
ZFA:0009248,neuron,T1,T1,5.0,1,1,1,3.4214,1352,662,26,2,1,0,0,0,0,0,0,0,1,
ZFA:0009250,lymphocyte,T1,T1,5.0,1,1,1,7.5743,76,45,4,1,0,0,0,0,0,0,0,1,1,
ZFA:0009255,amacrine cell,T1,T1,5.0,1,1,1,7.2677,94,94,0,1,1,1,0,0,0,0,0,0,1,
ZFA:0009262,retinal cone cell,T1,T1,5.0,1,1,1,7.7137,69,63,4,1,0,0,0,0,0,0,0,0,1,
ZFA:0009301,dopaminergic neuron,T1,T1,5.0,1,1,1,8.1784,50,50,2,1,0,0,0,0,0,0,0,0,1,
ZFA:0009309,leukocyte,T1,T1,5.0,1,1,1,6.4914,161,17,3,2,1,0,0,0,0,0,0,0,1,
ZFA:0009310,retinal ganglion cell,T1,T1,5.0,1,1,1,7.3628,88,88,0,1,1,1,0,0,0,0,0,0,1,
ZFA:0009324,myeloid cell,T1,T1,5.0,1,1,1,7.4472,83,39,3,1,0,0,0,0,0,0,0,0,1,
ZFA:0009366,hair cell,T1,T1,5.0,1,1,1,7.1784,100,50,9,1,0,0,0,0,0,0,0,0,1,
ZFA:0001569,oocyte stage V,T1,T1,4.982,1,0,1,8.2373,48,48,0,1,0,1,0,0,0,0,0,0,1,
ZFA:0009100,peptide hormone secreting cell,T1,T1,4.982,1,1,1,8.2373,48,3,15,1,0,0,0,0,0,0,0,0,1,
ZFA:0009070,granule cell,T1,T1,4.973,1,1,1,8.2677,47,39,2,1,1,0,0,0,0,0,0,0,1,
ZFA:0009367,neuromast hair cell,T1,T1,4.955,1,1,1,8.3304,45,45,0,1,1,1,0,0,0,0,0,0,1,
