parent_id,parent_name,child_id,child_name,relation,support_parent,support_child,retained,child_unique_frac,sufficient,discernible,dead_step,naive_direct_jaccard
ZFA:0000496,compound organ,ZFA:0000118,hypophysis,is_a,8967,252,0.0281,0.0,1,1,0,0.0
ZFA:0000496,compound organ,ZFA:0000140,pancreas,is_a,8967,419,0.0467,0.0692,1,1,0,0.0
ZFA:0000496,compound organ,ZFA:0000208,gall bladder,is_a,8967,57,0.0064,0.0175,1,1,0,0.0
ZFA:0000496,compound organ,ZFA:0000354,gill,is_a,8967,2031,0.2265,0.034,1,1,0,0.0035
ZFA:0000496,compound organ,ZFA:0000436,spleen,is_a,8967,694,0.0774,0.0043,1,1,0,0.0072
ZFA:0000496,compound organ,ZFA:0000669,head kidney,is_a,8967,146,0.0163,0.0,1,1,0,0.0278
ZFA:0000496,compound organ,ZFA:0001078,thymus,is_a,8967,84,0.0094,0.1071,1,1,0,0.0
ZFA:0000496,compound organ,ZFA:0001293,posterior kidney,is_a,8967,11,0.0012,0.0,1,1,0,0.0
ZFA:0000496,compound organ,ZFA:0001360,parapineal organ,is_a,8967,12,0.0013,0.0,1,1,0,0.0
ZFA:0000496,compound organ,ZFA:0001490,cavitated compound organ,is_a,8967,8529,0.9512,0.6023,1,0,0,0.0
ZFA:0000496,compound organ,ZFA:0001491,solid compound organ,is_a,8967,2334,0.2603,0.0938,1,1,0,0.0
ZFA:0000496,compound organ,ZFA:0005494,skeletal element,is_a,8967,406,0.0453,0.0936,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000008,brain,is_a,8529,6170,0.7234,0.2279,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000009,cardiac ventricle,is_a,8529,245,0.0287,0.0,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000047,peripheral olfactory organ,is_a,8529,754,0.0884,0.1671,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000075,spinal cord,is_a,8529,1452,0.1702,0.0406,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000076,swim bladder,is_a,8529,284,0.0333,0.0599,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000107,eye,is_a,8529,3985,0.4672,0.1187,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000114,heart,is_a,8529,2108,0.2472,0.0565,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000151,pronephros,is_a,8529,989,0.116,0.1385,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000360,heart tube,is_a,8529,361,0.0423,0.0388,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000413,gonad,is_a,8529,1740,0.204,0.104,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000471,atrium,is_a,8529,169,0.0198,0.0,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000529,kidney,is_a,8529,1219,0.1429,0.0541,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0000559,otolith organ,is_a,8529,66,0.0077,0.2273,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0001079,blood vasculature,is_a,8529,573,0.0672,0.1955,1,1,0,0.0
ZFA:0001490,cavitated compound organ,ZFA:0001338,intestine,is_a,8529,1524,0.1787,0.1319,1,1,0,0.0
ZFA:0000396,nervous system,ZFA:0000012,central nervous system,is_a,7744,6632,0.8564,0.346,1,1,0,0.057
ZFA:0000396,nervous system,ZFA:0000142,peripheral nervous system,is_a,7744,1276,0.1648,0.0118,1,1,0,0.0299
ZFA:0000396,nervous system,ZFA:0000282,sensory system,part_of,7744,5032,0.6498,0.1459,1,1,0,0.0
ZFA:0000396,nervous system,ZFA:0001355,primitive meninx,part_of,7744,10,0.0013,0.0,1,1,0,0.0
ZFA:0000396,nervous system,ZFA:0001574,autonomic nervous system,is_a,7744,31,0.004,0.0,1,1,0,0.0
ZFA:0000396,nervous system,ZFA:0007009,nerve,part_of,7744,118,0.0152,0.0085,1,1,0,0.0068
ZFA:0000396,nervous system,ZFA:0009033,ependymal cell,part_of,7744,27,0.0035,0.1111,1,1,0,0.0241
ZFA:0000396,nervous system,ZFA:0009073,glial cell,part_of,7744,90,0.0116,0.0667,1,1,0,0.0119
ZFA:0000396,nervous system,ZFA:0009248,neuron,part_of,7744,1352,0.1746,0.0259,1,1,0,0.0495
ZFA:0001477,portion of tissue,ZFA:0000004,anterior axial hypoblast,is_a,6996,115,0.0164,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000024,retinal ganglion cell layer,is_a,6996,624,0.0892,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000028,heart primordium,is_a,6996,111,0.0159,0.027,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000031,hypochord,is_a,6996,145,0.0207,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000033,intermediate cell mass of mesoderm,is_a,6996,335,0.0479,0.1463,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000035,lens,is_a,6996,563,0.0805,0.1439,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000045,neural crest,is_a,6996,360,0.0515,0.0778,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000046,retinal neural layer,is_a,6996,1047,0.1497,0.0038,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000050,optic vesicle,is_a,6996,503,0.0719,0.0338,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000060,prechordal plate,is_a,6996,430,0.0615,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000064,presumptive retinal pigmented epithelium,is_a,6996,29,0.0041,0.069,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000094,blood island,is_a,6996,97,0.0139,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000115,heart rudiment,is_a,6996,195,0.0279,0.0308,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000119,retinal inner nuclear layer,is_a,6996,536,0.0766,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000122,lens placode,is_a,6996,47,0.0067,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000131,neural keel,is_a,6996,543,0.0776,0.0184,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000132,neural plate,is_a,6996,700,0.1001,0.0214,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000133,neural rod,is_a,6996,413,0.059,0.0315,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000135,notochord,is_a,6996,941,0.1345,0.135,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000137,optic stalk,is_a,6996,92,0.0132,0.0435,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000143,retinal photoreceptor layer,is_a,6996,227,0.0324,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000155,somite,is_a,6996,1555,0.2223,0.11,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000190,ganglion,is_a,6996,701,0.1002,0.0884,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000210,gigantocellular part of magnocellular preoptic nucleus,is_a,6996,2,0.0003,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000228,lateral line primordium,is_a,6996,168,0.024,0.1429,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000233,lower oral valve,is_a,6996,0,0.0,0.0,0,0,0,0.0
