zfa_id,name,tier,cell_identity,credited_genes,reach
ZFA:0001273,ventral mandibular arch,T1,0,112,via_develops_from
ZFA:0000028,heart primordium,T1,0,111,unreachable
ZFA:0000570,optic primordium,T1,0,110,unreachable
ZFA:0001580,neurocranium,T1,0,110,unreachable
ZFA:0000091,axial chorda mesoderm,T1,0,105,unreachable
ZFA:0009096,endocrine cell,T1,1,104,unreachable
ZFA:0009039,squamous epithelial cell,T1,1,102,unreachable
ZFA:0001424,chondrocranium,T1,0,100,unreachable
ZFA:0000084,yolk,T1,1,90,unreachable
ZFA:0009019,neuronal stem cell,T1,1,90,unreachable
ZFA:0005345,adipose tissue,T1,0,90,unreachable
ZFA:0000571,presumptive telencephalon,T1,0,89,unreachable
ZFA:0005042,posterior lateral plate mesoderm,T1,0,88,unreachable
ZFA:0007032,midbrain neural rod,T1,0,87,unreachable
ZFA:0009324,myeloid cell,T1,1,83,via_develops_from
ZFA:0000351,olfactory region,T1,0,82,unreachable
ZFA:0007068,otic epithelium,T1,0,82,unreachable
ZFA:0000018,epiblast,T1,0,81,unreachable
ZFA:0005619,skeletal tissue,T1,0,79,unreachable
ZFA:0005041,anterior lateral plate mesoderm,T1,0,78,unreachable
ZFA:0007030,posterior neural rod,T1,0,78,unreachable
ZFA:0009011,neuroblast,T1,1,77,unreachable
ZFA:0001272,palatoquadrate arch,T1,0,75,via_develops_from
ZFA:0001377,presumptive mesoderm,T1,0,75,unreachable
ZFA:0001702,apical ectodermal ridge,T1,0,73,unreachable
ZFA:0001123,axial fin skeleton,T1,0,72,via_develops_from
ZFA:0001402,ventral hyoid arch,T1,0,69,via_develops_from
ZFA:0000063,presumptive neural plate,T1,0,68,unreachable
ZFA:0001570,unfertilized egg,T1,1,65,via_develops_from
ZFA:0000555,opercular flap,T1,0,65,unreachable
ZFA:0007034,forebrain neural rod,T1,0,65,unreachable
ZFA:0005621,bone tissue,T1,0,61,unreachable
ZFA:0009032,ciliated cell,T1,1,60,unreachable
ZFA:0009035,ciliated epithelial cell,T1,1,58,unreachable
ZFA:0001401,dorsal hyoid arch,T1,0,57,via_develops_from
ZFA:0009168,neuroblast (sensu Vertebrata),T1,1,57,unreachable
