atlas,cluster_id,broad_gold,fine_gold,current_kind,current_bucket,current_correct,category,candidate_zfa,candidate_name,candidate_tier,candidate_support,candidate_depth,best_parent_support,clears_06_floor,fine_match
daniocell,endo.33,endo,endoderm,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000017,endoderm,T1,4,4,20,0,1
daniocell,endo.34,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,endo.4,endo,endoderm,named,liver,1,covered,,,,0,-1,0,0,0
daniocell,endo.5,endo,endoderm,named,liver,1,covered,,,,0,-1,0,0,0
daniocell,endo.6,endo,endoderm,named,liver,1,covered,,,,0,-1,0,0,0
daniocell,endo.7,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,endo.8,endo,endoderm,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000031,hypochord,T1,3,5,18,0,0
daniocell,endo.9,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.1,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.10,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.11,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.12,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.13,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.14,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.15,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.16,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.17,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.18,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.19,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.2,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.20,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.21,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.22,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.23,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.24,epid,epidermis,rollup,ectoderm,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.25,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.26,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.27,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.28,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.29,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.3,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.30,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.31,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.32,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.33,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.34,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.35,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.36,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.37,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.38,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.4,epid,epidermis,rollup,ectoderm,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.5,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.6,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.7,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.8,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.9,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.1,eye,eye,named,retinal photoreceptor layer,1,covered,,,,0,-1,0,0,0
daniocell,eye.10,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.11,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.12,eye,eye,named,retinal inner nuclear layer,1,covered,,,,0,-1,0,0,0
daniocell,eye.13,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.14,eye,eye,named,epiphysis,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.15,eye,eye,named,forebrain,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.16,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.17,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.18,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.19,eye,eye,named,retinal photoreceptor layer,1,covered,,,,0,-1,0,0,0
daniocell,eye.2,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.20,eye,eye,named,epiphysis,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.21,eye,eye,named,retinal inner nuclear layer,1,covered,,,,0,-1,0,0,0
daniocell,eye.22,eye,eye,named,pigment cell,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.23,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.24,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.25,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.26,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.27,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.28,eye,eye,named,retinal photoreceptor layer,1,covered,,,,0,-1,0,0,0
daniocell,eye.29,eye,eye,named,retina,1,covered,,,,0,-1,0,0,0
daniocell,eye.3,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.30,eye,eye,named,retinal ganglion cell layer,1,covered,,,,0,-1,0,0,0
daniocell,eye.31,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.32,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.33,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.34,eye,eye,named,lens,1,covered,,,,0,-1,0,0,0
daniocell,eye.35,eye,eye,named,retinal pigmented epithelium,1,covered,,,,0,-1,0,0,0
daniocell,eye.36,eye,eye,named,nervous system,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.37,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.38,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.39,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.4,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.40,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.41,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.5,eye,eye,named,retinal photoreceptor layer,1,covered,,,,0,-1,0,0,0
daniocell,eye.6,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.7,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,eye.8,eye,eye,named,retinal inner nuclear layer,1,covered,,,,0,-1,0,0,0
daniocell,eye.9,eye,eye,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.1,fin,fin,named,pectoral fin,1,covered,,,,0,-1,0,0,0
daniocell,fin.10,fin,fin,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.11,fin,fin,named,epidermis,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.12,fin,fin,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.13,fin,fin,rollup,mesoderm,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.14,fin,fin,named,fin,1,covered,,,,0,-1,0,0,0
daniocell,fin.15,fin,fin,named,pectoral fin,1,covered,,,,0,-1,0,0,0
daniocell,fin.16,fin,fin,rollup,mesoderm,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.17,fin,fin,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
